,trading_day,value
0,2023-10-09,-2.05457343
1,2023-10-10,-2.06393626
2,2023-10-11,-2.06147211
3,2023-10-12,-2.05530069
4,2023-10-13,-2.05474905
5,2023-10-16,-2.05266321
6,2023-10-17,-2.05105904
7,2023-10-18,-2.05901786
8,2023-10-19,-2.0656493
9,2023-10-20,-2.07346656
10,2023-10-23,-2.06085935
11,2023-10-24,-2.06481063
12,2023-10-25,-2.06612456
13,2023-10-26,-2.05626084
14,2023-10-27,-2.05487256
15,2023-10-30,-2.09010502
16,2023-10-31,-2.09082648
17,2023-11-01,-2.09838951
18,2023-11-02,-2.09770872
19,2023-11-03,-2.10831305
20,2023-11-06,-2.09735144
21,2023-11-07,-2.06709618
22,2023-11-08,-2.03125287
23,2023-11-09,-2.02894229
24,2023-11-10,-2.03474009
25,2023-11-13,-2.05168921
26,2023-11-14,-2.05843871
27,2023-11-15,-2.06400355
28,2023-11-16,-2.07199781
29,2023-11-17,-2.08481377
30,2023-11-20,-2.10426685
31,2023-11-21,-2.10980806
32,2023-11-22,-2.11751738
33,2023-11-23,-2.12437124
34,2023-11-24,-2.09380197
35,2023-11-27,-2.10413666
36,2023-11-28,-2.12816541
37,2023-11-29,-2.14743027
38,2023-11-30,-2.15383946
39,2023-12-01,-2.17093627
40,2023-12-04,-2.1814628
41,2023-12-05,-2.17968932
42,2023-12-06,-2.18257868
43,2023-12-07,-2.18467775
44,2023-12-08,-2.18407507
45,2023-12-11,-2.1874348
46,2023-12-12,-2.18926311
47,2023-12-13,-2.1898912
48,2023-12-14,-2.18979477
49,2023-12-15,-2.19865428
50,2023-12-18,-2.19407178
51,2023-12-19,-2.20214613
52,2023-12-20,-2.19981377
53,2023-12-21,-2.20895126
54,2023-12-22,-2.19989788
55,2023-12-25,-2.15196424
56,2023-12-26,-2.0952081
57,2023-12-27,-2.06362184
58,2023-12-28,-2.04993674
59,2023-12-29,-2.05372222
60,2024-01-02,-2.05891305
61,2024-01-03,-2.06365787
62,2024-01-04,-2.06950681
63,2024-01-05,-2.06436274
