,htsc_code,name,exchange,stock_code,stock_name,stock_exchange,trading_day,weight,in_date,out_date
0,000300.SH,沪深300,XSHG,000001.SZ,深发展A,XSHE,2024-01-05 00:00:00,0.53,2005-04-08 00:00:00,
1,000300.SH,沪深300,XSHG,000002.SZ,万科A,XSHE,2024-01-05 00:00:00,0.4,2005-04-08 00:00:00,
2,000300.SH,沪深300,XSHG,000063.SZ,中兴通讯,XSHE,2024-01-05 00:00:00,0.46,2005-04-08 00:00:00,
3,000300.SH,沪深300,XSHG,000069.SZ,华侨城A,XSHE,2024-01-05 00:00:00,0.09,2005-04-08 00:00:00,
4,000300.SH,沪深300,XSHG,000100.SZ,TCL集团,XSHE,2024-01-05 00:00:00,0.47,2009-01-05 00:00:00,
5,000300.SH,沪深300,XSHG,000157.SZ,中联重科,XSHE,2024-01-05 00:00:00,0.2,2005-04-08 00:00:00,
6,000300.SH,沪深300,XSHG,000166.SZ,申万宏源,XSHE,2024-01-05 00:00:00,0.23,2015-01-26 00:00:00,
7,000300.SH,沪深300,XSHG,000301.SZ,东方盛虹,XSHE,2024-01-05 00:00:00,0.15,2021-12-13 00:00:00,
8,000300.SH,沪深300,XSHG,000333.SZ,美的集团,XSHE,2024-01-05 00:00:00,1.62,2013-09-18 00:00:00,
9,000300.SH,沪深300,XSHG,000338.SZ,潍柴动力,XSHE,2024-01-05 00:00:00,0.46,2008-01-02 00:00:00,
10,000300.SH,沪深300,XSHG,000408.SZ,藏格矿业,XSHE,2024-01-05 00:00:00,0.13,2022-06-13 00:00:00,
11,000300.SH,沪深300,XSHG,000425.SZ,徐工科技,XSHE,2024-01-05 00:00:00,0.23,2005-04-08 00:00:00,
12,000300.SH,沪深300,XSHG,000538.SZ,云南白药,XSHE,2024-01-05 00:00:00,0.26,2005-07-01 00:00:00,
13,000300.SH,沪深300,XSHG,000568.SZ,泸州老窖,XSHE,2024-01-05 00:00:00,0.71,2005-04-08 00:00:00,
14,000300.SH,沪深300,XSHG,000596.SZ,古井贡酒,XSHE,2024-01-05 00:00:00,0.21,2019-06-17 00:00:00,
15,000300.SH,沪深300,XSHG,000617.SZ,中油资本,XSHE,2024-01-05 00:00:00,0.08,2023-06-12 00:00:00,
16,000300.SH,沪深300,XSHG,000625.SZ,长安汽车,XSHE,2024-01-05 00:00:00,0.44,2005-04-08 00:00:00,
17,000300.SH,沪深300,XSHG,000651.SZ,格力电器,XSHE,2024-01-05 00:00:00,0.88,2005-04-08 00:00:00,
18,000300.SH,沪深300,XSHG,000661.SZ,长春高新,XSHE,2024-01-05 00:00:00,0.27,2018-12-17 00:00:00,
19,000300.SH,沪深300,XSHG,000708.SZ,中信特钢,XSHE,2024-01-05 00:00:00,0.08,2020-06-15 00:00:00,
20,000300.SH,沪深300,XSHG,000725.SZ,京东方A,XSHE,2024-01-05 00:00:00,0.84,2012-07-02 00:00:00,
21,000300.SH,沪深300,XSHG,000733.SZ,振华科技,XSHE,2024-01-05 00:00:00,0.12,2022-12-12 00:00:00,
22,000300.SH,沪深300,XSHG,000768.SZ,西飞国际,XSHE,2024-01-05 00:00:00,0.17,2006-01-04 00:00:00,
23,000300.SH,沪深300,XSHG,000776.SZ,广发证券,XSHE,2024-01-05 00:00:00,0.25,2011-01-04 00:00:00,
24,000300.SH,沪深300,XSHG,000786.SZ,北新建材,XSHE,2024-01-05 00:00:00,0.16,2018-06-11 00:00:00,
25,000300.SH,沪深300,XSHG,000792.SZ,盐湖股份,XSHE,2024-01-05 00:00:00,0.5,2022-06-13 00:00:00,
26,000300.SH,沪深300,XSHG,000800.SZ,一汽解放,XSHE,2024-01-05 00:00:00,0.05,2021-06-15 00:00:00,
27,000300.SH,沪深300,XSHG,000858.SZ,五粮液,XSHE,2024-01-05 00:00:00,1.51,2005-04-08 00:00:00,
28,000300.SH,沪深300,XSHG,000876.SZ,新希望,XSHE,2024-01-05 00:00:00,0.12,2007-07-02 00:00:00,
29,000300.SH,沪深300,XSHG,000877.SZ,天山股份,XSHE,2024-01-05 00:00:00,0.07,2022-06-13 00:00:00,
30,000300.SH,沪深300,XSHG,000895.SZ,双汇发展,XSHE,2024-01-05 00:00:00,0.16,2008-01-02 00:00:00,
31,000300.SH,沪深300,XSHG,000938.SZ,紫光股份,XSHE,2024-01-05 00:00:00,0.24,2016-12-12 00:00:00,
32,000300.SH,沪深300,XSHG,000963.SZ,华东医药,XSHE,2024-01-05 00:00:00,0.19,2013-07-01 00:00:00,
33,000300.SH,沪深300,XSHG,000977.SZ,浪潮信息,XSHE,2024-01-05 00:00:00,0.18,2020-06-15 00:00:00,
34,000300.SH,沪深300,XSHG,000983.SZ,山西焦煤,XSHE,2024-01-05 00:00:00,0.14,2023-06-12 00:00:00,
35,000300.SH,沪深300,XSHG,000999.SZ,华润三九,XSHE,2024-01-05 00:00:00,0.12,2023-12-11 00:00:00,
36,000300.SH,沪深300,XSHG,001289.SZ,龙源电力,XSHE,2024-01-05 00:00:00,0.02,2022-06-13 00:00:00,
37,000300.SH,沪深300,XSHG,001979.SZ,招商蛇口,XSHE,2024-01-05 00:00:00,0.19,2015-12-30 00:00:00,
38,000300.SH,沪深300,XSHG,002001.SZ,新和成,XSHE,2024-01-05 00:00:00,0.16,2018-12-17 00:00:00,
39,000300.SH,沪深300,XSHG,002007.SZ,华兰生物,XSHE,2024-01-05 00:00:00,0.14,2010-01-04 00:00:00,
40,000300.SH,沪深300,XSHG,002027.SZ,分众传媒,XSHE,2024-01-05 00:00:00,0.37,2016-06-13 00:00:00,
41,000300.SH,沪深300,XSHG,002049.SZ,紫光国微,XSHE,2024-01-05 00:00:00,0.25,2020-12-14 00:00:00,
42,000300.SH,沪深300,XSHG,002050.SZ,三花智控,XSHE,2024-01-05 00:00:00,0.36,2018-06-11 00:00:00,
43,000300.SH,沪深300,XSHG,002074.SZ,国轩高科,XSHE,2024-01-05 00:00:00,0.13,2022-06-13 00:00:00,
44,000300.SH,沪深300,XSHG,002129.SZ,中环股份,XSHE,2024-01-05 00:00:00,0.27,2020-06-15 00:00:00,
45,000300.SH,沪深300,XSHG,002142.SZ,宁波银行,XSHE,2024-01-05 00:00:00,0.46,2008-01-02 00:00:00,
46,000300.SH,沪深300,XSHG,002179.SZ,中航光电,XSHE,2024-01-05 00:00:00,0.23,2018-12-17 00:00:00,
47,000300.SH,沪深300,XSHG,002180.SZ,纳思达,XSHE,2024-01-05 00:00:00,0.12,2022-12-12 00:00:00,
