日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,603065,7.27,7.18,7.4,7.11,24426,17747719.0,3.99,-1.24,-0.09,1.24
2025-01-03,603065,7.18,7.04,7.24,7.02,27878,19881079.0,3.06,-1.95,-0.14,1.42
2025-01-06,603065,7.06,7.08,7.14,6.85,22916,16097411.0,4.12,0.57,0.04,1.17
2025-01-07,603065,7.05,7.25,7.25,7.02,23951,17060201.0,3.25,2.4,0.17,1.22
2025-01-08,603065,7.25,7.12,7.28,7.01,27242,19446150.0,3.72,-1.79,-0.13,1.39
2025-01-09,603065,7.11,7.15,7.22,7.09,14411,10319986.0,1.83,0.42,0.03,0.73
2025-01-10,603065,7.14,6.94,7.3,6.93,24859,17616437.0,5.17,-2.94,-0.21,1.26
2025-01-13,603065,6.88,7.02,7.03,6.75,18321,12616990.0,4.03,1.15,0.08,0.93
2025-01-14,603065,7.03,7.29,7.29,7.0,27090,19442737.0,4.13,3.85,0.27,1.38
2025-01-15,603065,7.29,7.28,7.32,7.22,18605,13538707.0,1.37,-0.14,-0.01,0.95
2025-01-16,603065,7.31,7.29,7.42,7.22,22164,16234531.0,2.75,0.14,0.01,1.13
2025-01-17,603065,7.29,7.31,7.36,7.23,13999,10226227.0,1.78,0.27,0.02,0.71
2025-01-20,603065,7.3,7.47,7.51,7.26,28293,20939027.0,3.42,2.19,0.16,1.44
2025-01-21,603065,7.44,7.4,7.51,7.34,15571,11511578.0,2.28,-0.94,-0.07,0.79
2025-01-22,603065,7.4,7.35,7.4,7.28,12441,9127256.0,1.62,-0.68,-0.05,0.63
2025-01-23,603065,7.45,7.35,7.47,7.33,17162,12701921.0,1.9,0.0,0.0,0.87
2025-01-24,603065,7.33,7.34,7.36,7.25,15219,11120249.0,1.5,-0.14,-0.01,0.77
2025-01-27,603065,7.32,7.42,7.51,7.32,21607,16069408.0,2.59,1.09,0.08,1.1
2025-02-05,603065,7.46,7.48,7.64,7.38,22108,16543934.0,3.5,0.81,0.06,1.12
2025-02-06,603065,7.47,7.56,7.56,7.41,19973,14966761.0,2.01,1.07,0.08,1.02
2025-02-07,603065,7.56,7.58,7.62,7.48,27312,20677792.0,1.85,0.26,0.02,1.39
2025-02-10,603065,7.6,7.75,7.86,7.54,44703,34324832.0,4.22,2.24,0.17,2.27
2025-02-11,603065,7.71,7.69,7.79,7.66,25252,19433416.0,1.68,-0.77,-0.06,1.28
2025-02-12,603065,7.69,7.7,7.71,7.61,25297,19394446.0,1.3,0.13,0.01,1.29
2025-02-13,603065,7.66,7.55,7.75,7.55,21514,16420258.0,2.6,-1.95,-0.15,1.09
2025-02-14,603065,7.55,7.62,7.66,7.55,17903,13623092.0,1.46,0.93,0.07,0.91
2025-02-17,603065,7.61,7.72,7.73,7.61,23877,18348982.0,1.57,1.31,0.1,1.21
2025-02-18,603065,7.71,7.55,7.77,7.52,25382,19455654.0,3.24,-2.2,-0.17,1.29
2025-02-19,603065,7.56,7.67,7.68,7.52,20639,15749660.0,2.12,1.59,0.12,1.05
2025-02-20,603065,7.7,7.75,7.75,7.63,23090,17783652.0,1.56,1.04,0.08,1.17
2025-02-21,603065,7.71,7.76,7.78,7.65,22013,17020775.0,1.68,0.13,0.01,1.12
2025-02-24,603065,7.75,7.76,7.86,7.7,21511,16662122.0,2.06,0.0,0.0,1.09
2025-02-25,603065,7.75,7.67,7.76,7.67,15023,11593418.0,1.16,-1.16,-0.09,0.76
2025-02-26,603065,7.67,7.75,7.78,7.67,22556,17486145.0,1.43,1.04,0.08,1.15
2025-02-27,603065,7.74,7.83,7.91,7.69,56149,43776396.0,2.84,1.03,0.08,2.85
2025-02-28,603065,7.78,7.69,7.85,7.65,44675,34594399.0,2.55,-1.79,-0.14,2.27
