排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,最近多板,BK1638,1052.75,52.75,5.28,2246065696000,13.28,103,25,民爆光电,20.01
2,HIT电池,BK0908,3572.2,156.66,4.59,946990176000,8.43,36,3,双良节能,10.0
3,TOPCon电池,BK1097,1091.84,43.78,4.18,871904880000,9.34,36,7,中来股份,20.0
4,租售同权,BK0822,813.66,31.13,3.98,415334768000,3.68,16,1,华发股份,9.95
5,反内卷概念,BK1197,1187.93,44.95,3.93,5514694400000,2.72,139,17,韩建河山,9.95
6,钙钛矿电池,BK1094,1173.62,43.43,3.84,909685952000,6.33,36,6,亚玛顿,10.01
7,可燃冰,BK0818,1846.03,68.31,3.84,275174944000,3.61,9,0,神开股份,10.02
8,昨日首板,BK1630,1080.75,37.94,3.64,1108108512000,9.39,48,10,双良节能,10.0
9,昨日涨停_含一字,BK1050,18429.51,606.95,3.41,1360901344000,11.71,61,20,民爆光电,20.01
10,昨日涨停,BK0815,34133.22,1063.52,3.22,1339208688000,11.77,57,19,顺钠股份,9.96
11,麒麟电池,BK1092,2030.41,62.88,3.2,1798131600000,3.79,5,3,银轮股份,10.01
12,蓝宝石,BK0674,3761.16,112.82,3.09,764923776000,6.01,12,6,TCL中环,9.99
13,红利破净股,BK1636,1030.4,30.4,3.04,13027918592000,0.33,40,0,华发股份,9.95
14,煤化工,BK0492,12317.56,342.98,2.86,3011999760000,2.53,63,12,陕西黑猫,10.0
15,BC电池,BK1148,1363.34,37.8,2.85,696254032000,8.21,15,10,晶科能源,20.0
16,东方财富热股,BK1637,1028.19,28.19,2.82,10156500992000,9.58,63,35,顺钠股份,9.96
17,油气设服,BK0606,2562.62,66.07,2.65,2395049776000,3.54,43,9,神开股份,10.02
18,天然气,BK0843,1849.47,46.0,2.55,6074997760000,1.47,108,18,陕西黑猫,10.0
19,低碳冶金,BK0979,1117.91,27.77,2.55,341068448000,1.16,8,0,河钢股份,4.12
20,页岩气,BK0603,3116.17,75.47,2.48,3223309056000,1.06,26,5,神开股份,10.02
21,地热能,BK0622,5102.13,123.01,2.47,91429865000,3.95,8,0,开山股份,7.82
22,通用航空,BK0625,6936.07,164.95,2.44,1277117760000,2.5,32,5,中国东航,9.98
23,免税概念,BK0927,1594.16,37.8,2.43,906678816000,1.4,20,1,招商蛇口,7.31
24,超超临界发电,BK1087,1565.61,35.58,2.33,1338919392000,1.9,43,5,双良节能,10.0
25,滨海新区,BK0566,11346.24,250.47,2.26,236285326000,3.14,21,0,TCL中环,9.99
26,REITs概念,BK0992,874.1,19.24,2.25,784577120000,2.24,22,2,招商蛇口,7.31
27,破净股,BK1112,1571.96,34.49,2.24,20609331968000,0.84,258,3,山西焦化,9.95
28,低价股,BK1053,1235.81,27.03,2.24,1535058000000,2.21,122,7,财信发展,9.92
29,长期破净,BK1635,1022.28,22.28,2.23,13851898368000,0.99,168,11,山西焦化,9.95
30,昨日打二板以上表现,BK1634,1074.42,23.4,2.23,113107146000,13.92,8,8,民爆光电,20.01
31,昨日连板_含一字,BK1051,2367.32,51.55,2.23,113107146000,13.92,8,8,民爆光电,20.01
32,钒电池,BK1095,1522.99,32.16,2.16,638147776000,4.08,17,5,协鑫集成,9.88
33,氢能源,BK0864,1645.85,34.04,2.11,5977299456000,2.27,204,47,双良节能,10.0
34,熔盐储能,BK1103,1235.78,25.31,2.09,107263118000,3.43,11,0,东方电热,4.9
35,太阳能,BK0588,4443.79,88.08,2.02,9966895104000,3.52,318,100,顺钠股份,9.96
36,退税商店,BK0933,1502.5,28.62,1.94,180539143000,2.43,10,1,杭州解百,10.0
37,稀缺资源,BK0519,36822.42,693.75,1.92,5464030464000,3.26,51,26,兖矿能源,10.01
38,海工装备,BK0601,2592.53,46.71,1.83,2084195088000,4.67,60,16,顺钠股份,9.96
39,超级品牌,BK0811,2355.43,42.24,1.83,7886528768000,1.22,29,2,安孚科技,7.64
40,装配建筑,BK0945,1231.53,21.53,1.78,1529919664000,2.36,74,16,宏盛华源,9.95
41,航母概念,BK0715,1220.59,20.27,1.69,1315364208000,3.1,25,7,中船科技,9.98
42,京津冀,BK0684,2052.13,32.91,1.63,845169744000,3.23,46,13,巨力索具,9.99
