,ts_code,name,count,exchange,list_date,type
0,882001.TI,安徽,159.0,A,20070808,R
1,882002.TI,北京,448.0,A,20070808,R
2,882003.TI,重庆,67.0,A,20070808,R
3,882004.TI,黑龙江,40.0,A,20070808,R
4,882005.TI,福建,168.0,A,20070808,R
5,882006.TI,甘肃,36.0,A,20070808,R
6,882007.TI,深圳,402.0,A,20070808,R
7,882008.TI,广东(除深圳),423.0,A,20070808,R
8,882009.TI,广西,40.0,A,20070808,R
9,882010.TI,贵州,35.0,A,20070808,R
10,882011.TI,海南,28.0,A,20070808,R
11,882012.TI,河北,72.0,A,20070808,R
12,882013.TI,河南,106.0,A,20070808,R
13,882014.TI,湖北,135.0,A,20070808,R
14,882015.TI,湖南,137.0,A,20070808,R
15,882016.TI,吉林,50.0,A,20070808,R
16,882017.TI,江苏,628.0,A,20070808,R
17,882018.TI,江西,76.0,A,20070808,R
18,882019.TI,辽宁,84.0,A,20070808,R
19,882020.TI,内蒙古,25.0,A,20070808,R
20,882021.TI,宁夏,15.0,A,20070808,R
21,882022.TI,青海,11.0,A,20070808,R
22,882023.TI,山东,287.0,A,20070808,R
23,882024.TI,山西,40.0,A,20070808,R
24,882025.TI,陕西,74.0,A,20070808,R
25,882026.TI,浦东,152.0,A,20070808,R
26,882027.TI,上海(除浦东),262.0,A,20070808,R
27,882028.TI,四川,166.0,A,20070808,R
28,882029.TI,天津,68.0,A,20070808,R
29,882030.TI,西藏,22.0,A,20070808,R
30,882031.TI,新疆,58.0,A,20070808,R
31,882032.TI,云南,42.0,A,20070808,R
32,882033.TI,浙江,643.0,A,20070808,R
33,700030.TI,同花顺小盘,2588.0,A,20191231,ST
34,700031.TI,同花顺大盘,2588.0,A,20191231,ST
35,700032.TI,同花顺低估值,1553.0,A,20191231,ST
36,700033.TI,同花顺高估值,1554.0,A,20191231,ST
37,700034.TI,同花顺保守投资,1509.0,A,20191231,ST
38,700035.TI,同花顺激进投资,1513.0,A,20191231,ST
39,700036.TI,同花顺高盈利,1548.0,A,20191231,ST
40,700037.TI,同花顺低盈利,1550.0,A,20191231,ST
41,700038.TI,同花顺高动量,1549.0,A,20191231,ST
42,700039.TI,同花顺低动量,1554.0,A,20191231,ST
43,700040.TI,同花顺均衡估值,2069.0,A,20191231,ST
44,700041.TI,同花顺均衡盈利,2065.0,A,20191231,ST
45,700042.TI,同花顺均衡投资,2018.0,A,20191231,ST
46,700043.TI,同花顺均衡动量,2073.0,A,20191231,ST
47,700044.TI,同花顺高价股,104.0,A,20180625,ST
48,700045.TI,同花顺低价股,104.0,A,20180625,ST
49,700046.TI,同花顺超大盘股,20.0,A,20061229,ST
50,700047.TI,同花顺大盘股,200.0,A,20061229,ST
51,700048.TI,同花顺中盘,500.0,A,20061229,ST
52,700049.TI,同花顺小盘,1000.0,A,20061229,ST
53,700050.TI,同花顺微盘,400.0,A,20061229,ST
54,700051.TI,同花顺金仓30,30.0,A,20140505,TH
55,700051R.TI,同花顺金仓30全收益,30.0,A,20140505,TH
56,700052.TI,同花顺金仓50,50.0,A,20140505,TH
57,700052R.TI,同花顺金仓50全收益,50.0,A,20140505,TH
58,700053.TI,同花顺金仓100,100.0,A,20140505,TH
59,700053R.TI,同花顺金仓100全收益,100.0,A,20140505,TH
60,700054.TI,同花顺金仓200,200.0,A,20140505,TH
61,700054R.TI,同花顺金仓200全收益,200.0,A,20140505,TH
62,700055.TI,茅指数,,A,,TH
63,700056.TI,宁组合,,A,,TH
64,700001.TI,同花顺全A(加权),5364.0,A,20061229,BB
65,700002.TI,同花顺全A(除金融、石油石化),5235.0,A,20061229,BB
66,700003.TI,同花顺全A(除科创板),4791.0,A,20061229,BB
67,700004.TI,同花顺主板,3196.0,A,20061229,BB
68,700005.TI,同花顺创指,1346.0,A,20100531,BB
69,700008.TI,同花顺沪深全A,5115.0,A,20061229,BB
70,700009.TI,同花顺沪深全A(除金融、石油石化),4986.0,A,20061229,BB
71,700010.TI,同花顺沪深全A(除科创板),4542.0,A,20061229,BB
72,700012.TI,同花顺全港,2639.0,A,20101231,BB
73,700012R.TI,同花顺全港R,2639.0,A,20101231,BB
74,700013.TI,同花顺香港主板,2315.0,A,20101231,BB
75,700013R.TI,同花顺香港主板R,2315.0,A,20101231,BB
76,700014.TI,同花顺香港创业,324.0,A,20101231,BB
77,700014R.TI,同花顺香港创业R,324.0,A,20101231,BB
78,700018.TI,同花顺沪市港股通,548.0,A,20141117,BB
79,700019.TI,同花顺深市港股通,548.0,A,20161205,BB
80,700020.TI,同花顺港股通,,A,,BB
81,700021.TI,同花顺沪股通,,A,,BB
82,700022.TI,同花顺深股通,,A,,BB
83,700023.TI,同花顺陆股通,,A,,BB
84,700057.TI,同花顺小市值200,200.0,A,20121231,BB
85,700058.TI,同花顺小市值400,400.0,A,20121231,BB
86,700059.TI,同花顺小市值600,600.0,A,20121231,BB
87,700060.TI,同花顺小市值800,800.0,A,20121231,BB
88,700061.TI,同花顺小市值1000,1000.0,A,20121231,BB
89,700062.TI,同花顺小市值1500,1500.0,A,20121231,BB
90,700063.TI,同花顺小市值200(1000),200.0,A,20121231,BB
91,700064.TI,同花顺小市值400(1000),400.0,A,20121231,BB
92,700065.TI,同花顺小市值600(1000),600.0,A,20121231,BB
93,700066.TI,同花顺小市值800(1000),800.0,A,20121231,BB
94,700067.TI,同花顺小市值1000(1000),1000.0,A,20121231,BB
95,700068.TI,同花顺小市值1500(1000),1500.0,A,20121231,BB
96,700069.TI,同花顺小市值200(2000),200.0,A,20121231,BB
97,700070.TI,同花顺小市值400(2000),400.0,A,20121231,BB
98,700071.TI,同花顺小市值600(2000),600.0,A,20121231,BB
99,700072.TI,同花顺小市值800(2000),800.0,A,20121231,BB
100,700073.TI,同花顺小市值1000(2000),1000.0,A,20121231,BB
101,700074.TI,同花顺小市值1500(2000),1500.0,A,20121231,BB
102,700075.TI,同花顺小市值200(3000),200.0,A,20121231,BB
103,700076.TI,同花顺小市值400(3000),400.0,A,20121231,BB
104,700077.TI,同花顺小市值600(3000),600.0,A,20121231,BB
105,700078.TI,同花顺小市值800(3000),800.0,A,20121231,BB
106,700079.TI,同花顺小市值1000(3000),1000.0,A,20121231,BB
107,700080.TI,同花顺小市值1500(3000),1500.0,A,20121231,BB
108,700081.TI,同花顺全A(沪深等权),5114.0,A,20061229,BB
109,700082.TI,同花顺全A(沪深京等权),5363.0,A,20061229,BB
110,864001.TI,昨日涨幅超过10%,142.0,A,20210506,S
111,864002.TI,昨日涨幅超过15%,67.0,A,20210506,S
112,864003.TI,昨日涨幅超过5%,554.0,A,20210506,S
113,864004.TI,昨日成交量前十,10.0,A,20210506,S
114,883400.TI,昨日ST首板股表现,18.0,A,20220608,S
115,883401.TI,昨日ST连板股表现,7.0,A,20220608,S
116,883403.TI,佛山,54.0,A,20070808,S
117,883404.TI,同花顺情绪指数,,A,20220810,S
118,883405.TI,高送转,8.0,A,20221108,S
119,883406.TI,基金重仓股,100.0,A,20221125,S
120,883407.TI,社保新进,225.0,A,20221125,S
121,883408.TI,近期新高,85.0,A,20230621,S
122,883409.TI,近期强势,48.0,A,20230621,S
123,883410.TI,最近多板,31.0,A,20230621,S
124,883411.TI,密集调研,27.0,A,20230621,S
125,883412.TI,高市盈率,200.0,A,20230621,S
126,883413.TI,低市盈率,200.0,A,20230621,S
127,883414.TI,高市净率,200.0,A,20230621,S
128,883415.TI,低市净率,200.0,A,20230621,S
129,883416.TI,百日新高,192.0,A,20230621,S
130,883417.TI,大盘股,200.0,A,20230621,S
131,883418.TI,微盘股,200.0,A,20230705,S
132,883419.TI,珠海,40.0,A,20231107,S
133,883420.TI,减持新规(不可减持),2841.0,A,20230828,S
134,883421.TI,同花顺全A(沪深),5113.0,A,20231204,S
135,883422.TI,北交所昨日涨停表现,2.0,A,20240103,S
136,883423.TI,沪深主板昨日涨停,99.0,A,20240103,S
137,883424.TI,创业科创板昨日涨停,13.0,A,20240103,S
138,883425.TI,同花顺北证全A,248.0,A,20240109,S
139,883426.TI,同花顺拟回购指数,68.0,A,20240201,S
140,883900.TI,昨日涨停表现,135.0,A,20160328,S
141,883901.TI,昨日资金前十,10.0,A,20160513,S
142,883902.TI,昨日成交前十,10.0,A,20160513,S
143,883903.TI,增发预案指数,243.0,A,20160603,S
144,883904.TI,增发募集指数,21.0,A,20160603,S
145,883905.TI,昨日换手前十,10.0,A,20160603,S
146,883906.TI,昨日高振幅,110.0,A,20160603,S
147,883907.TI,近端次新股,21.0,A,20160603,S
148,883908.TI,沪股通成交前十,10.0,A,20160603,S
149,883910.TI,同花顺热股,50.0,A,20160720,S
150,883911.TI,创历史新高,18.0,A,20160719,S
151,883912.TI,深股通成交前十,10.0,A,20161213,S
152,883913.TI,龙虎榜指数,53.0,A,20170306,S
153,883915.TI,增持计划,468.0,A,20180411,S
