,htsc_code,exchange,name,time,trade_price,total_qty,buy_qty,sell_qty,total_num,buy_num,sell_num,volume_per_num
0,601686.SH,XSHG,友发集团,2021/1/13 15:15,12,239600,101200,138400,143,63,80,1675.52
1,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.93,227600,118500,109100,206,92,114,1104.85
2,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.86,316008,29835,286173,368,31,337,858.72
3,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.02,41300,29700,11600,33,15,18,1251.52
4,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.95,83800,33500,50300,78,38,40,1074.36
5,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.04,38200,29600,8600,24,13,11,1591.67
6,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.88,864626,435560,429066,900,432,468,960.7
7,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.97,160874,51422,109452,180,62,118,893.74
8,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.9,545837,173600,372237,542,192,350,1007.08
9,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.06,25000,2000,23000,40,5,35,625
10,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.99,107300,54500,52800,102,51,51,1051.96
11,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.92,329744,139944,189800,320,112,208,1030.45
12,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.08,3600,2900,700,7,6,1,514.29
13,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.85,54770,0,54770,76,0,76,720.66
14,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.01,69900,39100,30800,75,34,41,932
15,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.94,127000,48400,78600,116,56,60,1094.83
16,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.1,300,300,0,2,2,0,150
17,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.87,899209,255142,644067,1047,285,762,858.84
18,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.03,8700,3400,5300,12,4,8,725
19,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.96,79300,15200,64100,68,21,47,1166.18
20,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.89,456726,175926,280800,403,175,228,1133.32
21,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.05,27400,3500,23900,18,5,13,1522.22
22,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.98,184400,89348,95052,193,103,90,955.44
23,601686.SH,XSHG,友发集团,2021/1/13 15:15,11.91,315400,99636,215764,282,109,173,1118.44
24,601686.SH,XSHG,友发集团,2021/1/13 15:15,12.07,17700,9800,7900,19,10,9,931.58
25,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.8,132400,66400,66000,131,71,60,1010.69
26,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.16,12800,7200,5600,27,15,12,474.07
27,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.57,35800,17400,18400,37,11,26,967.57
28,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.93,44000,26400,17600,89,66,23,494.38
29,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.34,58500,30200,28300,70,32,38,835.71
30,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.7,26400,5000,21400,34,5,29,776.47
31,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.75,26700,10700,16000,37,14,23,721.62
32,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.11,71800,52000,19800,83,58,25,865.06
33,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.52,110947,18047,92900,103,23,80,1077.16
34,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.88,7400,7300,100,11,10,1,672.73
35,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.29,50900,31500,19400,48,37,11,1060.42
36,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.7,220100,168692,51408,219,139,80,1005.02
37,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.06,276974,159774,117200,301,186,115,920.18
38,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.47,233818,125744,108074,205,101,104,1140.58
39,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.83,12700,5100,7600,25,12,13,508
40,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.24,170700,121900,48800,229,180,49,745.41
41,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.65,102600,73400,29200,90,46,44,1140
42,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.01,27600,12500,15100,29,13,16,951.72
43,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.42,46800,40800,6000,76,65,11,615.79
44,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.78,394235,126545,267690,507,174,333,777.58
45,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.83,29700,26700,3000,21,15,6,1414.29
46,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.19,118300,64800,53500,121,61,60,977.69
47,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.6,431100,138453,292647,345,132,213,1249.57
48,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.96,74700,54100,20600,93,77,16,803.23
49,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.37,36000,30800,5200,56,43,13,642.86
50,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.73,257800,92900,164900,215,56,159,1199.07
51,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.78,80500,48800,31700,89,55,34,904.49
52,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.14,6800,6000,800,17,16,1,400
53,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.55,163700,98035,65665,208,149,59,787.02
54,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.91,31974,8074,23900,36,9,27,888.17
55,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.32,27700,17400,10300,33,21,12,839.39
56,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.73,64600,45200,19400,89,62,27,725.84
57,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.09,148700,116300,32400,179,153,26,830.73
58,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.5,405135,261835,143300,397,247,150,1020.49
59,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.86,14300,13300,1000,9,8,1,1588.89
60,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.27,56000,20200,35800,24,17,7,2333.33
61,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.04,123321,19595,103726,197,31,166,625.99
62,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.68,93800,64800,29000,99,76,23,947.47
63,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.45,89400,66600,22800,75,55,20,1192
64,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.81,16900,7200,9700,24,13,11,704.17
65,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.22,86000,47700,38300,67,35,32,1283.58
66,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.63,111100,83700,27400,104,61,43,1068.27
67,601686.SH,XSHG,友发集团,2021/1/14 15:15,11.99,25600,25600,0,18,18,0,1422.22
68,601686.SH,XSHG,友发集团,2021/1/14 15:15,12.4,77300,48000,29300,122,85,37,633.61
