,htsc_code,time,frequency,open,close,high,low,num_trades,volume,value
0,002747.SZ,2024-01-15 16:30:00,daily,16.46,16.43,16.7,16.18,13401,8438102.0,138607254.82
1,002747.SZ,2024-01-16 16:29:36,daily,16.45,16.28,16.53,16.07,14692,8815788.0,143410426.08
2,002747.SZ,2024-01-17 16:29:36,daily,16.27,15.51,16.36,15.5,20432,13511595.0,214004599.19
3,002747.SZ,2024-01-18 16:29:06,daily,15.45,15.57,15.66,15.07,29201,16783272.0,257025269.74
4,002747.SZ,2024-01-19 16:29:54,daily,15.57,15.22,15.67,15.2,17535,11290570.0,173938279.1
5,002747.SZ,2024-01-22 16:29:03,daily,15.16,14.38,15.31,14.21,29593,17050956.0,251669229.91
6,002747.SZ,2024-01-23 16:29:54,daily,14.4,14.52,14.82,14.2,27224,14385463.0,209075218.7
7,002747.SZ,2024-01-24 16:29:57,daily,14.6,14.7,14.78,14.0,24774,14968520.0,215834110.87
8,002747.SZ,2024-01-25 16:29:03,daily,14.66,15.05,15.1,14.51,27632,16545942.0,246146437.18
9,002747.SZ,2024-01-26 16:29:03,daily,14.99,14.72,15.07,14.68,18943,12116723.0,180400407.8
10,002747.SZ,2024-01-29 16:29:48,daily,14.79,14.18,14.88,14.15,22523,13000064.0,187138055.89
11,002747.SZ,2024-01-30 16:29:15,daily,14.14,13.75,14.5,13.75,22869,12598500.0,177368403.0
12,002747.SZ,2024-01-31 16:29:42,daily,13.64,13.07,13.79,12.99,36786,19737794.0,262979737.71
13,002747.SZ,2024-02-01 16:29:57,daily,13.03,13.05,13.4,12.8,29968,15425274.0,202187561.68
14,002747.SZ,2024-02-02 16:29:45,daily,13.19,12.63,13.35,12.08,33528,18195486.0,233188090.06
15,002747.SZ,2024-02-05 16:29:27,daily,12.43,11.58,12.64,11.37,52769,31208323.0,368448517.44
16,002747.SZ,2024-02-06 16:29:03,daily,11.48,12.66,12.74,11.32,53453,29427939.0,356908444.5
17,002747.SZ,2024-02-07 16:29:57,daily,12.74,13.93,13.93,12.74,54480,43289722.0,593206402.76
18,002747.SZ,2024-02-08 16:29:18,daily,14.16,14.5,14.66,13.78,61067,36520592.0,523880368.88
19,002747.SZ,2024-02-19 16:29:51,daily,14.68,14.54,14.75,14.13,51200,28685585.0,414809388.87
20,002747.SZ,2024-02-20 16:29:27,daily,14.35,14.58,14.62,14.16,29647,16803698.0,242426977.65
21,002747.SZ,2024-02-21 16:29:09,daily,14.41,14.64,15.19,14.3,43260,26490080.0,394003843.27
22,002747.SZ,2024-02-22 16:29:36,daily,14.64,15.2,15.2,14.58,35328,22159689.0,332015375.46
23,002747.SZ,2024-02-23 16:29:30,daily,15.27,15.71,15.77,15.05,39797,24809175.0,382872322.4
24,002747.SZ,2024-02-26 16:29:03,daily,16.72,17.28,17.28,16.23,73503,62657394.0,1065011464.32
25,002747.SZ,2024-02-27 16:29:51,daily,17.0,17.78,17.79,16.68,77736,58842479.0,1008037361.29
26,002747.SZ,2024-02-28 16:29:21,daily,17.78,16.31,17.78,16.23,67272,52777870.0,902937759.41
27,002747.SZ,2024-02-29 16:29:33,daily,16.25,17.42,17.44,16.13,51261,40746040.0,691908403.2
28,002747.SZ,2024-03-01 16:29:54,daily,17.42,18.3,18.36,17.34,58534,50917775.0,908098453.32
29,002747.SZ,2024-03-04 16:29:39,daily,18.48,19.03,19.3,17.76,71132,56422039.0,1044791884.27
30,002747.SZ,2024-03-05 16:30:00,daily,18.7,18.26,18.97,18.21,51430,39636704.0,734783137.62
31,002747.SZ,2024-03-06 16:29:54,daily,18.1,18.67,18.9,18.1,46867,37977192.0,704408772.86
32,002747.SZ,2024-03-07 16:29:48,daily,19.26,18.4,19.78,18.39,64876,51141595.0,979771867.16
33,002747.SZ,2024-03-08 16:29:03,daily,18.26,19.01,19.1,18.11,43577,34560841.0,643407506.01
34,002747.SZ,2024-03-11 16:29:57,daily,18.65,18.99,18.99,18.51,33085,25226626.0,473536625.94
35,002747.SZ,2024-03-12 16:29:57,daily,18.9,19.38,19.5,18.75,43382,35837844.0,689112340.83
36,002747.SZ,2024-03-13 16:29:15,daily,19.4,19.12,19.44,19.0,32884,26813808.0,514737276.82
37,002747.SZ,2024-03-14 16:30:00,daily,19.19,18.81,19.58,18.56,43326,33476032.0,635813315.45
38,002747.SZ,2024-03-15 16:29:15,daily,18.62,19.35,19.38,18.56,42632,33365266.0,635816315.65
39,002747.SZ,2024-03-18 16:29:21,daily,19.5,20.05,20.18,19.11,61075,47877363.0,941984461.74
40,002747.SZ,2024-03-19 16:29:45,daily,19.8,19.74,20.38,19.61,50002,37403177.0,748148205.46
41,002747.SZ,2024-03-20 16:29:57,daily,19.82,19.82,20.06,19.5,36652,27441028.0,542977589.5
42,002747.SZ,2024-03-21 16:29:48,daily,19.8,19.38,19.87,19.24,42304,27339683.0,532641152.3
43,002747.SZ,2024-03-22 16:30:00,daily,19.21,18.89,19.3,18.75,38776,27066687.0,513857024.95
44,002747.SZ,2024-03-25 16:29:48,daily,18.78,18.07,19.05,17.98,45074,29204605.0,540844909.67
45,002747.SZ,2024-03-26 16:29:51,daily,17.98,17.94,18.15,17.48,44397,24579937.0,438953114.11
46,002747.SZ,2024-03-27 16:29:36,daily,17.97,17.16,18.0,17.13,30163,18273031.0,319653529.31
47,002747.SZ,2024-03-28 16:29:21,daily,17.15,18.7,18.88,17.15,51603,42048642.0,772820097.7
48,002747.SZ,2024-03-29 16:29:18,daily,18.61,19.13,19.22,18.36,72210,40806945.0,767523823.76
49,002747.SZ,2024-04-01 16:29:36,daily,19.25,19.4,19.45,18.95,46658,29806053.0,575300018.68
50,002747.SZ,2024-04-02 16:29:54,daily,19.36,18.95,19.37,18.73,36320,23422603.0,444993048.78
