,ymd,stock_code,pb
0,2026-01-05,000001,0.53
1,2026-01-05,000002,0.4
2,2026-01-05,000006,1.47
3,2026-01-05,000007,17.93
4,2026-01-05,000008,2.17
5,2026-01-05,000009,2.28
6,2026-01-05,000010,15.11
7,2026-01-05,000011,1.14
8,2026-01-05,000012,1.1
9,2026-01-05,000014,1.51
10,2026-01-05,000016,2.94
11,2026-01-05,000017,12.72
12,2026-01-05,000019,1.56
13,2026-01-05,000020,9.81
14,2026-01-05,000021,2.72
15,2026-01-05,000025,4.2
16,2026-01-05,000026,1.24
17,2026-01-05,000027,0.98
18,2026-01-05,000028,0.81
19,2026-01-05,000029,4.38
20,2026-01-05,000030,1.22
21,2026-01-05,000031,0.91
22,2026-01-05,000032,4.5
23,2026-01-05,000034,3.83
24,2026-01-05,000035,1.03
25,2026-01-05,000036,1.16
26,2026-01-05,000037,3.4
27,2026-01-05,000039,0.94
28,2026-01-05,000042,0.8
29,2026-01-05,000045,1.85
30,2026-01-05,000048,1.96
31,2026-01-05,000049,1.44
32,2026-01-05,000050,0.82
33,2026-01-05,000055,0.72
34,2026-01-05,000056,5.21
35,2026-01-05,000058,5.1
36,2026-01-05,000059,0.6
37,2026-01-05,000060,1.32
38,2026-01-05,000061,1.83
39,2026-01-05,000062,3.47
40,2026-01-05,000063,2.63
41,2026-01-05,000065,1.15
42,2026-01-05,000066,4.54
43,2026-01-05,000068,5.69
44,2026-01-05,000069,0.36
45,2026-01-05,000070,2.85
46,2026-01-05,000078,2.16
47,2026-01-05,000088,1.5
48,2026-01-05,000089,1.24
49,2026-01-05,000090,0.66
50,2026-01-05,000096,2.43
51,2026-01-05,000099,4.22
52,2026-01-05,000100,1.76
53,2026-01-05,000151,8.82
54,2026-01-05,000153,1.43
55,2026-01-05,000155,2
56,2026-01-05,000156,1.13
57,2026-01-05,000157,1.1
58,2026-01-05,000158,7.68
59,2026-01-05,000159,1.33
60,2026-01-05,000166,1.26
61,2026-01-05,000301,1.81
62,2026-01-05,000333,2.65
63,2026-01-05,000338,1.49
64,2026-01-05,000400,2.35
65,2026-01-05,000401,0.47
66,2026-01-05,000402,0.28
67,2026-01-05,000403,2.01
68,2026-01-05,000404,1.25
69,2026-01-05,000407,0.97
70,2026-01-05,000408,3.92
71,2026-01-05,000409,4.53
72,2026-01-05,000410,14.81
73,2026-01-05,000411,1.28
74,2026-01-05,000415,0.75
75,2026-01-05,000417,0.92
76,2026-01-05,000419,0.92
77,2026-01-05,000420,1.95
78,2026-01-05,000421,1.37
79,2026-01-05,000422,1.76
80,2026-01-05,000423,3.9
81,2026-01-05,000425,1.61
82,2026-01-05,000426,3.22
83,2026-01-05,000428,1.96
84,2026-01-05,000429,2.59
85,2026-01-05,000498,0.65
86,2026-01-05,000501,0.6
87,2026-01-05,000503,8.84
88,2026-01-05,000505,1.39
89,2026-01-05,000506,7.81
90,2026-01-05,000507,0.88
91,2026-01-05,000509,26.75
92,2026-01-05,000510,1.74
93,2026-01-05,000513,2.37
94,2026-01-05,000514,0.95
95,2026-01-05,000516,3.33
96,2026-01-05,000517,0.81
97,2026-01-05,000519,2.01
98,2026-01-05,000520,9.5
99,2026-01-05,000521,1.41
100,2026-01-05,000523,3.75
101,2026-01-05,000524,2.9
102,2026-01-05,000525,8.04
103,2026-01-05,000526,7.92
104,2026-01-05,000528,1.29
105,2026-01-05,000529,1.08
106,2026-01-05,000530,1.5
107,2026-01-05,000531,0.97
108,2026-01-05,000532,4.24
109,2026-01-05,000533,4.98
110,2026-01-05,000534,5.95
111,2026-01-05,000536,8.93
112,2026-01-05,000537,0.89
113,2026-01-05,000538,2.55
114,2026-01-05,000539,0.99
115,2026-01-05,000541,1.46
116,2026-01-05,000543,1.04
117,2026-01-05,000544,0.99
118,2026-01-05,000545,1.6
119,2026-01-05,000546,0.89
120,2026-01-05,000547,1.83
121,2026-01-05,000548,1.28
122,2026-01-05,000550,1.79
123,2026-01-05,000551,1.89
124,2026-01-05,000552,0.84
125,2026-01-05,000553,0.7
126,2026-01-05,000554,2.84
127,2026-01-05,000555,2.01
128,2026-01-05,000557,1.25
129,2026-01-05,000558,4.38
130,2026-01-05,000559,2.29
131,2026-01-05,000560,0.79
132,2026-01-05,000561,2.69
133,2026-01-05,000563,1.04
134,2026-01-05,000564,3.54
135,2026-01-05,000565,1.86
136,2026-01-05,000566,3.75
137,2026-01-05,000567,2.35
138,2026-01-05,000568,3.88
139,2026-01-05,000570,1.07
140,2026-01-05,000571,10.34
141,2026-01-05,000572,3.5
142,2026-01-05,000573,1.62
143,2026-01-05,000576,2.09
144,2026-01-05,000581,0.93
145,2026-01-05,000582,1.07
146,2026-01-05,000586,5.87
147,2026-01-05,000589,0.86
148,2026-01-05,000590,2.48
149,2026-01-05,000591,0.75
150,2026-01-05,000592,2.7
151,2026-01-05,000593,2.25
152,2026-01-05,000596,3.59
153,2026-01-05,000597,1.45
154,2026-01-05,000598,1.18
155,2026-01-05,000599,2.1
156,2026-01-05,000600,0.98
157,2026-01-05,000601,1
158,2026-01-05,000603,2.98
159,2026-01-05,000605,1.28
160,2026-01-05,000607,2.8
161,2026-01-05,000610,7.03
162,2026-01-05,000612,1.35
163,2026-01-05,000617,0.84
164,2026-01-05,000619,1.01
165,2026-01-05,000620,2.02
166,2026-01-05,000623,0.7
167,2026-01-05,000625,1.86
168,2026-01-05,000626,1.11
169,2026-01-05,000628,9.51
170,2026-01-05,000629,2.1
171,2026-01-05,000630,1.29
172,2026-01-05,000631,1.28
173,2026-01-05,000632,1.12
174,2026-01-05,000633,10
175,2026-01-05,000635,1.73
176,2026-01-05,000636,1.46
177,2026-01-05,000637,3.05
178,2026-01-05,000639,1.02
179,2026-01-05,000650,1.31
180,2026-01-05,000651,1.96
181,2026-01-05,000652,1.02
182,2026-01-05,000655,1.12
183,2026-01-05,000657,2.28
184,2026-01-05,000659,12.28
185,2026-01-05,000661,1.71
186,2026-01-05,000663,1.72
187,2026-01-05,000665,1.04
188,2026-01-05,000670,330
189,2026-01-05,000672,0.79
190,2026-01-05,000676,3.08
191,2026-01-05,000677,6.79
192,2026-01-05,000678,3.71
193,2026-01-05,000679,7.48
194,2026-01-05,000680,2.38
195,2026-01-05,000681,5.5
196,2026-01-05,000682,2.73
197,2026-01-05,000683,1.41
198,2026-01-05,000685,0.75
199,2026-01-05,000686,1
200,2026-01-05,000688,4.71
201,2026-01-05,000690,0.78
202,2026-01-05,000692,-6.51
203,2026-01-05,000695,12.97
204,2026-01-05,000700,1.71
205,2026-01-05,000701,13.5
206,2026-01-05,000702,7.2
207,2026-01-05,000703,0.98
208,2026-01-05,000705,1.34
209,2026-01-05,000707,1.39
210,2026-01-05,000708,1.53
211,2026-01-05,000709,0.44
212,2026-01-05,000710,2.2
213,2026-01-05,000712,5.46
214,2026-01-05,000713,2.44
215,2026-01-05,000715,1.45
216,2026-01-05,000716,2.21
217,2026-01-05,000717,0.8
218,2026-01-05,000718,0.72
219,2026-01-05,000719,1.07
220,2026-01-05,000720,1.6
221,2026-01-05,000721,15.45
222,2026-01-05,000722,1.42
223,2026-01-05,000723,1.36
224,2026-01-05,000725,1.33
225,2026-01-05,000726,0.55
226,2026-01-05,000727,4.47
227,2026-01-05,000728,0.98
228,2026-01-05,000729,2.11
229,2026-01-05,000731,0.97
230,2026-01-05,000733,1.62
231,2026-01-05,000735,1.65
232,2026-01-05,000737,3.2
233,2026-01-05,000738,2.13
234,2026-01-05,000739,2.7
235,2026-01-05,000750,1.24
236,2026-01-05,000751,1.28
